timestamp,RND1,RND2,RND3,RND4
2024-10-18 00:00:00,1780.94,320.36,169.9,2036.35
2024-10-18 00:01:00,1780.81,320.41,169.89,2036.44
2024-10-18 00:02:00,1781.46,320.35,169.91,2036.46
2024-10-18 00:03:00,1781.39,320.25,169.89,2036.57
2024-10-18 00:04:00,1781.21,320.33,169.91,2036.51
2024-10-18 00:05:00,1780.75,320.27,169.9,2036.43
2024-10-18 00:06:00,1780.91,320.33,169.92,2036.39
2024-10-18 00:07:00,1779.62,320.4,169.91,2036.25
2024-10-18 00:08:00,1778.91,320.38,169.9,2036.21
2024-10-18 00:09:00,1779.14,320.39,169.86,2035.96
2024-10-18 00:10:00,1779.84,320.35,169.86,2036.21
2024-10-18 00:11:00,1779.84,320.4,169.89,2036.56
2024-10-18 00:12:00,1779.41,320.4,169.87,2036.54
2024-10-18 00:13:00,1780.47,320.37,169.88,2036.72
2024-10-18 00:14:00,1780.55,320.36,169.89,2037.19
2024-10-18 00:15:00,1780.84,320.32,169.88,2037.09
2024-10-18 00:16:00,1781.4,320.24,169.87,2037.18
2024-10-18 00:17:00,1781.67,320.22,169.84,2037.02
2024-10-18 00:18:00,1781.57,320.28,169.85,2037.38
2024-10-18 00:19:00,1781.89,320.2,169.86,2037.03
2024-10-18 00:20:00,1781.91,320.27,169.86,2036.71
2024-10-18 00:21:00,1782.26,320.24,169.87,2036.72
2024-10-18 00:22:00,1781.19,320.28,169.89,2036.5
2024-10-18 00:23:00,1781.55,320.22,169.94,2036.64
2024-10-18 00:24:00,1781.36,320.05,169.95,2036.68
2024-10-18 00:25:00,1780.52,320.06,169.96,2036.74
2024-10-18 00:26:00,1780.39,320.14,169.97,2036.46
2024-10-18 00:27:00,1780.71,320.03,169.99,2036.73
2024-10-18 00:28:00,1781.13,320.02,169.98,2036.63
2024-10-18 00:29:00,1780.31,319.95,170.04,2036.47
2024-10-18 00:30:00,1780.55,319.96,170.03,2036.56
2024-10-18 00:31:00,1780.56,319.89,170.08,2036.58
2024-10-18 00:32:00,1781.23,319.86,170.07,2036.48
2024-10-18 00:33:00,1781.65,319.83,170.06,2036.48
2024-10-18 00:34:00,1781.68,319.9,170.08,2036.42
2024-10-18 00:35:00,1782.56,319.92,170.06,2036.4
2024-10-18 00:36:00,1782.41,320.07,170.07,2036.48
2024-10-18 00:37:00,1783.03,320.02,170.05,2036.52
2024-10-18 00:38:00,1782.83,320.1,170.07,2036.54
2024-10-18 00:39:00,1782.54,320.04,170.09,2036.5
2024-10-18 00:40:00,1782.93,320.04,170.12,2036.51
2024-10-18 00:41:00,1783.98,320.05,170.1,2036.36
2024-10-18 00:42:00,1784.82,319.96,170.1,2036.1
2024-10-18 00:43:00,1784.47,320.05,170.09,2035.51
2024-10-18 00:44:00,1783.92,320.03,170.13,2035.63
2024-10-18 00:45:00,1783.62,320.0,170.13,2035.64
2024-10-18 00:46:00,1783.07,319.98,170.17,2035.77
2024-10-18 00:47:00,1782.5,319.93,170.18,2035.54
2024-10-18 00:48:00,1782.74,319.91,170.16,2035.53
2024-10-18 00:49:00,1782.59,319.94,170.19,2035.72
2024-10-18 00:50:00,1782.31,319.97,170.18,2035.76
2024-10-18 00:51:00,1781.87,320.06,170.17,2035.75
2024-10-18 00:52:00,1781.96,320.06,170.16,2035.49
2024-10-18 00:53:00,1781.66,320.04,170.15,2035.45
2024-10-18 00:54:00,1781.89,320.04,170.16,2035.52
2024-10-18 00:55:00,1782.02,320.01,170.16,2035.72
2024-10-18 00:56:00,1782.15,320.07,170.18,2035.5
2024-10-18 00:57:00,1782.06,319.98,170.2,2035.41
2024-10-18 00:58:00,1782.16,319.99,170.21,2035.45
2024-10-18 00:59:00,1781.88,319.99,170.19,2035.38
2024-10-18 01:00:00,1781.05,320.02,170.15,2035.04
2024-10-18 01:01:00,1780.98,320.15,170.12,2035.19
2024-10-18 01:02:00,1780.91,320.22,170.12,2035.17
2024-10-18 01:03:00,1780.46,320.28,170.13,2035.32
2024-10-18 01:04:00,1780.43,320.2,170.11,2035.45
2024-10-18 01:05:00,1780.62,320.16,170.09,2035.71
2024-10-18 01:06:00,1779.73,320.15,170.08,2035.94
2024-10-18 01:07:00,1778.85,320.14,170.08,2036.1
2024-10-18 01:08:00,1777.94,320.1,170.08,2036.13
2024-10-18 01:09:00,1778.37,320.12,170.05,2035.96
2024-10-18 01:10:00,1777.89,320.12,170.08,2035.85
2024-10-18 01:11:00,1777.64,320.1,170.09,2035.89
2024-10-18 01:12:00,1777.99,320.17,170.12,2035.78
2024-10-18 01:13:00,1777.69,320.17,170.11,2035.9
2024-10-18 01:14:00,1777.08,320.04,170.09,2035.77
2024-10-18 01:15:00,1776.96,320.03,170.12,2035.8
2024-10-18 01:16:00,1776.59,320.06,170.12,2035.61
2024-10-18 01:17:00,1776.87,320.11,170.1,2035.83
2024-10-18 01:18:00,1776.83,320.14,170.11,2035.79
2024-10-18 01:19:00,1776.86,320.21,170.08,2035.63
2024-10-18 01:20:00,1777.28,320.13,170.08,2035.72
2024-10-18 01:21:00,1776.5,320.12,170.07,2035.95
2024-10-18 01:22:00,1775.76,320.17,170.07,2036.04
2024-10-18 01:23:00,1776.35,320.13,170.07,2035.76
2024-10-18 01:24:00,1776.21,319.98,170.07,2035.94
2024-10-18 01:25:00,1775.75,320.01,170.06,2035.94
2024-10-18 01:26:00,1775.26,320.06,170.07,2035.97
2024-10-18 01:27:00,1774.55,320.14,170.06,2036.0
2024-10-18 01:28:00,1774.57,320.06,170.05,2035.97
2024-10-18 01:29:00,1773.89,320.15,170.05,2036.15
2024-10-18 01:30:00,1773.19,320.15,170.03,2036.41
2024-10-18 01:31:00,1773.12,320.17,170.03,2036.29
2024-10-18 01:32:00,1772.18,320.22,170.04,2036.19
2024-10-18 01:33:00,1771.78,320.29,170.02,2036.44
